Country,Code,CO2,Continent,Population,Total
Madagascar,MDG,0.14871116,Africa,29611714.0,4403592.33852824
Chad,TCD,0.13367727,Africa,17723315.0,2369204.36455005
Sierra Leone,SLE,0.13124847,Africa,8605718.0,1129487.32075146
Uganda,UGA,0.12744623,Africa,47249585.0,6021781.4773145495
Niger,NER,0.116688,Africa,26207977.0,3058156.420176
Rwanda,RWA,0.112346195,Africa,13776698.0,1547759.59996411
Malawi,MWI,0.10262384,Africa,20405317.0,2094071.98695728
Burundi,BDI,0.06194545,Africa,12889576.0,798450.5856292
Central African Republic,CAF,0.040548485,Africa,5579144.0,226225.83679684
Somalia,SOM,0.03676208,Africa,17597511.0,646921.10718288
Democratic Republic of Congo,COD,0.036375992,Africa,99010212.0,3601594.679630304
