Entity,Code,CO2,Continent
Sri Lanka,LKA,0.7936504,Asia
Papua New Guinea,PNG,0.77131313,Oceania
Senegal,SEN,0.6738352,Africa
Palestine,PSE,0.6660658,Asia
Myanmar,MMR,0.6445672,Asia
Vanuatu,VUT,0.6363055,Oceania
Benin,BEN,0.631487,Africa
Ghana,GHA,0.6215505,Africa
Bangladesh,BGD,0.5964455,Asia
Nigeria,NGA,0.5891771,Africa
Sao Tome and Principe,STP,0.5816142,Africa
Zimbabwe,ZWE,0.542628,Africa
Kiribati,KIR,0.5184742,Oceania
Nepal,NPL,0.5074035,Asia
East Timor,TLS,0.49869007,Asia
Comoros,COM,0.49327007,Africa
Sudan,SDN,0.4696261,Africa
Kenya,KEN,0.45998666,Africa
Angola,AGO,0.45155162,Africa
Zambia,ZMB,0.44570068,Africa
Cote d'Ivoire,CIV,0.41668788,Africa
Solomon Islands,SLB,0.41232163,Oceania
Djibouti,DJI,0.40418932,Africa
Guinea,GIN,0.35742033,Africa
Cameroon,CMR,0.34292704,Africa
Yemen,YEM,0.33701748,Asia
Mali,MLI,0.31153768,Africa
Afghanistan,AFG,0.29536375,Asia
Togo,TGO,0.2910665,Africa
Gambia,GMB,0.2847278,Africa
Burkina Faso,BFA,0.26295447,Africa
Mozambique,MOZ,0.24274588,Africa
Tanzania,TZA,0.23771806,Africa
Haiti,HTI,0.21119381,North America
Eritrea,ERI,0.18914719,Africa
South Sudan,SSD,0.1680176,Africa
Liberia,LBR,0.1653753,Africa
Guinea-Bissau,GNB,0.15518051,Africa
Ethiopia,ETH,0.15458965,Africa
Madagascar,MDG,0.14871116,Africa
Chad,TCD,0.13367727,Africa
Sierra Leone,SLE,0.13124847,Africa
Uganda,UGA,0.12744623,Africa
Niger,NER,0.116688,Africa
Rwanda,RWA,0.112346195,Africa
Malawi,MWI,0.10262384,Africa
Burundi,BDI,0.06194545,Africa
Central African Republic,CAF,0.040548485,Africa
Somalia,SOM,0.03676208,Africa
Democratic Republic of Congo,COD,0.036375992,Africa
