Date,Value,Anomaly
200807,61.07,0.55
200808,59.59,0.55
200809,52.41,0.53
200810,41.14,-0.27
200811,32.90,2.22
200812,21.15,-1.45
200901,19.78,0.02
200902,25.03,2.21
200903,30.90,0.91
200904,38.39,-0.22
200905,49.12,1.69
200906,56.46,0.85
200907,59.92,-0.60
200908,59.16,0.12
200909,53.82,1.94
200910,40.10,-1.31
200911,34.12,3.44
200912,20.32,-2.28
201001,21.31,1.55
201002,22.46,-0.36
201003,32.02,2.03
201004,40.33,1.72
201005,47.73,0.30
201006,58.37,2.76
201007,62.42,1.90
201008,61.25,2.21
201009,53.19,1.31
201010,42.82,1.41
201011,30.81,0.13
201012,22.93,0.33
201101,19.38,-0.38
201102,21.67,-1.15
201103,31.84,1.85
201104,39.72,1.11
201105,47.03,-0.40
201106,56.93,1.32
201107,63.36,2.84
201108,61.63,2.59
201109,52.74,0.86
201110,42.35,0.94
201111,32.40,1.72
201112,25.29,2.69
201201,24.67,4.91
201202,26.96,4.14
201203,37.96,7.97
201204,41.70,3.09
201205,50.22,2.79
201206,56.86,1.25
201207,63.54,3.02
201208,60.19,1.15
201209,52.52,0.64
201210,41.70,0.29
201211,32.09,1.41
201212,26.02,3.42
201301,21.79,2.03
201302,24.08,1.26
201303,29.10,-0.89
201304,37.26,-1.35
201305,48.16,0.73
201306,57.76,2.15
201307,61.97,1.45
201308,60.57,1.53
201309,54.72,2.84
201310,41.54,0.13
201311,30.74,0.06
201312,20.61,-1.99
201401,18.68,-1.08
201402,21.25,-1.57
201403,28.18,-1.81
201404,38.80,0.19
201405,48.43,1.00
201406,57.34,1.73
201407,60.76,0.24
201408,60.24,1.20
201409,54.10,2.22
201410,44.44,3.03
201411,28.24,-2.44
201412,28.27,5.67
201501,22.89,3.13
201502,21.58,-1.24
201503,33.01,3.02
201504,40.62,2.01
201505,49.12,1.69
201506,59.05,3.44
201507,61.84,1.32
201508,60.10,1.06
201509,55.72,3.84
201510,45.37,3.96
201511,33.96,3.28
201512,29.26,6.66
201601,22.59,2.83
201602,28.11,5.29
201603,35.51,5.52
201604,40.80,2.19
201605,48.13,0.70
201606,58.59,2.98
201607,62.51,1.99
201608,61.21,2.17
201609,54.82,2.94
201610,45.55,4.14
201611,36.36,5.68
201612,23.29,0.69
201701,24.35,4.59
201702,30.20,7.38
201703,34.47,4.48
201704,41.68,3.07
201705,47.84,0.41
201706,57.43,1.82
201707,62.83,2.31
201708,59.74,0.70
201709,53.76,1.88
201710,42.93,1.52
201711,33.87,3.19
201712,23.76,1.16
201801,21.16,1.40
201802,24.37,1.55
201803,31.44,1.45
201804,36.19,-2.42
201805,52.61,5.18
201806,58.91,3.30
201807,62.65,2.13
201808,61.03,1.99
201809,55.69,3.81
201810,43.03,1.62
201811,29.86,-0.82
201812,26.26,3.66
201901,22.84,3.08
201902,21.96,-0.86
201903,29.19,-0.80
201904,40.82,2.21
201905,48.11,0.68
201906,56.23,0.62
201907,62.11,1.59
201908,61.11,2.07
201909,56.25,4.37
201910,39.88,-1.53
201911,29.89,-0.79
201912,26.78,4.18
202001,26.02,6.26
202002,25.21,2.39
202003,35.44,5.45
202004,38.12,-0.49
202005,48.40,0.97
202006,57.51,1.90
202007,62.87,2.35
202008,61.54,2.50
202009,52.99,1.11
202010,41.59,0.18
202011,34.30,3.62
202012,24.82,2.22
202101,25.20,5.44
202102,20.41,-2.41
202103,33.15,3.16
202104,38.82,0.21
202105,47.80,0.37
202106,59.56,3.95
202107,63.18,2.66
202108,61.61,2.57
202109,54.48,2.60
202110,45.36,3.95
202111,33.28,2.60
202112,28.74,6.14
202201,19.44,-0.32
202202,21.04,-1.78
202203,31.41,1.42
202204,38.08,-0.53
202205,49.37,1.94
202206,57.83,2.22
202207,63.55,3.03
202208,62.24,3.20
202209,54.84,2.96
202210,41.81,0.40
202211,30.00,-0.68
202212,23.65,1.05
202301,25.79,6.03
202302,25.05,2.23
202303,29.62,-0.37
202304,38.39,-0.22
202305,49.66,2.23
202306,56.41,0.80
202307,62.58,2.06
202308,61.79,2.75
202309,55.02,3.14
202310,43.95,2.54
202311,32.79,2.11
202312,29.80,7.20
202401,22.73,2.97
202402,29.70,6.88
202403,33.53,3.54
202404,41.22,2.61
202405,49.89,2.46
202406,59.00,3.39
202407,62.96,2.44
202408,61.27,2.23
202409,55.36,3.48
202410,44.82,3.41
202411,34.88,4.20
