year,month,value
1925,11,29.35
1925,12,22.75
1926,1,20.17
1926,2,26.78
1926,3,28.11
1926,4,37.38
1926,5,47.59
1926,6,54.59
1926,7,59.86
1926,8,59.52
1926,9,51.93
1926,10,42.8
1926,11,29.75
1926,12,21.81
1927,1,21.22
1927,2,27.52
1927,3,31.26
1927,4,39.65
1927,5,47.55
1927,6,54.84
1927,7,59.49
1927,8,56.66
1927,9,52.48
1927,10,42.21
1927,11,33.78
1927,12,17.83
1928,1,21.11
1928,2,23.38
1928,3,31.39
1928,4,35.6
1928,5,47.95
1928,6,53.83
1928,7,60.62
1928,8,58.8
1928,9,49.5
1928,10,42.75
1928,11,31.35
1928,12,22.51
1929,1,15.53
1929,2,15.98
1929,3,32.14
1929,4,39.27
1929,5,46.06
1929,6,54.21
1929,7,60.26
1929,8,58.73
1929,9,50.95
1929,10,41.38
1929,11,27.55
1929,12,23.22
1930,1,13.33
1930,2,28.54
1930,3,28.62
1930,4,41.05
1930,5,46.92
1930,6,54.7
1930,7,60.91
1930,8,59.25
1930,9,52.56
1930,10,40.05
1930,11,29.8
1930,12,21.34
1931,1,22.35
1931,2,27.37
1931,3,28.33
1931,4,37.99
1931,5,45.95
1931,6,57.15
1931,7,62.06
1931,8,58.71
1931,9,55.0
1931,10,43.83
1931,11,32.5
1931,12,25.86
1932,1,22.03
1932,2,25.81
1932,3,26.38
1932,4,39.0
1932,5,47.62
1932,6,56.34
1932,7,60.76
1932,8,59.32
1932,9,50.94
1932,10,39.9
1932,11,28.89
1932,12,19.35
1933,1,23.7
1933,2,17.78
1933,3,30.4
1933,4,37.33
1933,5,47.7
1933,6,57.16
1933,7,61.48
1933,8,58.87
1933,9,54.72
1933,10,41.83
1933,11,30.34
1933,12,25.48
1934,1,24.48
1934,2,22.48
1934,3,29.64
1934,4,40.3
1934,5,50.13
1934,6,56.98
1934,7,62.15
1934,8,60.03
1934,9,50.76
1934,10,43.29
1934,11,34.12
1934,12,22.91
1935,1,20.86
1935,2,25.02
1935,3,32.2
1935,4,38.39
1935,5,45.72
1935,6,54.81
1935,7,61.9
1935,8,59.79
1935,9,51.33
1935,10,40.71
1935,11,29.28
1935,12,21.25
1936,1,17.17
1936,2,14.22
1936,3,31.37
1936,4,37.13
1936,5,49.75
1936,6,56.59
1936,7,62.73
1936,8,60.85
1936,9,53.44
1936,10,40.84
1936,11,27.68
1936,12,24.58
1937,1,14.76
1937,2,20.95
1937,3,27.95
1937,4,37.98
1937,5,48.47
1937,6,56.14
1937,7,61.29
1937,8,61.05
1937,9,52.29
1937,10,41.47
1937,11,29.98
1937,12,23.47
1938,1,22.14
1938,2,25.77
1938,3,33.84
1938,4,39.38
1938,5,47.59
1938,6,55.98
1938,7,60.87
1938,8,60.12
1938,9,53.26
1938,10,42.78
1938,11,27.99
1938,12,23.86
1939,1,23.81
1939,2,18.41
1939,3,30.24
1939,4,38.48
1939,5,48.96
1939,6,56.14
1939,7,61.12
1939,8,58.87
1939,9,53.49
1939,10,41.49
1939,11,29.64
1939,12,26.6
1940,1,14.11
1940,2,24.26
1940,3,30.13
1940,4,38.28
1940,5,47.12
1940,6,56.19
1940,7,60.67
1940,8,59.0
1940,9,52.56
1940,10,42.93
1940,11,28.72
1940,12,26.42
1941,1,22.86
1941,2,23.45
1941,3,28.09
1941,4,40.41
1941,5,49.41
1941,6,55.76
1941,7,61.02
1941,8,59.36
1941,9,52.12
1941,10,44.22
1941,11,31.41
1941,12,26.58
1942,1,18.86
1942,2,20.46
1942,3,29.68
1942,4,40.28
1942,5,46.63
1942,6,55.51
1942,7,60.6
1942,8,58.96
1942,9,50.49
1942,10,41.68
1942,11,31.55
1942,12,23.13
1943,1,18.48
1943,2,23.63
1943,3,26.31
1943,4,39.74
1943,5,47.21
1943,6,56.5
1943,7,60.75
1943,8,59.92
1943,9,50.25
1943,10,40.41
1943,11,28.89
1943,12,22.28
1944,1,21.15
1944,2,23.92
1944,3,27.21
1944,4,37.17
1944,5,49.06
1944,6,55.78
1944,7,58.96
1944,8,58.62
1944,9,52.09
1944,10,41.22
1944,11,32.11
1944,12,20.62
1945,1,20.52
1945,2,24.76
1945,3,33.55
1945,4,37.87
1945,5,45.39
1945,6,53.47
1945,7,59.76
1945,8,59.02
1945,9,52.02
1945,10,41.14
1945,11,30.72
1945,12,19.35
1946,1,20.82
1946,2,22.5
1946,3,34.66
1946,4,41.18
1946,5,46.22
1946,6,55.04
1946,7,60.51
1946,8,58.12
1946,9,51.64
1946,10,41.22
1946,11,31.28
1946,12,25.56
1947,1,21.24
1947,2,19.72
1947,3,27.39
1947,4,38.89
1947,5,47.03
1947,6,54.55
1947,7,59.07
1947,8,60.91
1947,9,52.84
1947,10,46.18
1947,11,28.69
1947,12,22.87
1948,1,16.81
1948,2,20.77
1948,3,27.41
1948,4,40.66
1948,5,47.25
1948,6,55.96
1948,7,60.15
1948,8,58.57
1948,9,52.09
1948,10,39.36
1948,11,31.01
1948,12,22.41
1949,1,16.12
1949,2,20.89
1949,3,29.79
1949,4,39.02
1949,5,48.87
1949,6,56.52
1949,7,61.3
1949,8,58.51
1949,9,50.36
1949,10,42.1
1949,11,32.09
1949,12,22.42
1950,1,19.56
1950,2,24.01
1950,3,27.16
1950,4,36.12
1950,5,46.63
1950,6,54.68
1950,7,58.78
1950,8,56.48
1950,9,51.46
1950,10,44.2
1950,11,28.62
1950,12,22.28
1951,1,19.26
1951,2,23.0
1951,3,27.03
1951,4,37.38
1951,5,47.52
1951,6,53.94
1951,7,60.46
1951,8,58.87
1951,9,50.74
1951,10,41.97
1951,11,27.21
1951,12,21.09
1952,1,21.7
1952,2,24.69
1952,3,27.14
1952,4,38.79
1952,5,47.44
1952,6,57.43
1952,7,60.33
1952,8,59.47
1952,9,51.37
1952,10,37.24
1952,11,28.38
1952,12,24.12
1953,1,26.01
1953,2,24.53
1953,3,32.16
1953,4,36.73
1953,5,46.99
1953,6,56.97
1953,7,60.85
1953,8,58.6
1953,9,50.94
1953,10,42.08
1953,11,32.18
1953,12,23.43
1954,1,20.07
1954,2,28.98
1954,3,27.77
1954,4,41.13
1954,5,45.7
1954,6,55.81
1954,7,61.63
1954,8,59.0
1954,9,52.77
1954,10,42.12
1954,11,32.05
1954,12,23.34
1955,1,19.44
1955,2,19.72
1955,3,27.81
1955,4,40.1
1955,5,48.27
1955,6,53.65
1955,7,61.61
1955,8,60.49
1955,9,52.2
1955,10,41.32
1955,11,26.74
1955,12,21.54
1956,1,20.89
1956,2,21.31
1956,3,28.02
1956,4,36.61
1956,5,48.85
1956,6,56.73
