Date,Value,Anomaly
192211,52.09,-0.60
192212,43.59,0.83
192301,45.09,4.61
192302,40.75,-4.07
192303,50.47,-2.53
192304,62.01,-1.45
192305,72.27,-0.66
192306,80.33,-0.98
192307,86.54,-0.10
192308,83.75,-1.36
192309,77.45,-0.33
192310,62.73,-4.05
192311,53.65,0.96
192312,45.61,2.85
192401,37.67,-2.81
192402,46.13,1.31
192403,47.19,-5.81
192404,62.78,-0.68
192405,71.26,-1.67
192406,81.90,0.59
192407,85.37,-1.27
192408,85.78,0.67
192409,76.08,-1.70
192410,68.43,1.65
192411,54.32,1.63
192412,37.85,-4.91
192501,39.87,-0.61
192502,49.73,4.91
192503,57.11,4.11
192504,67.64,4.18
192505,73.62,0.69
192506,82.65,1.34
192507,87.40,0.76
192508,84.94,-0.17
192509,79.02,1.24
192510,59.54,-7.24
192511,51.44,-1.25
192512,42.26,-0.50
192601,40.46,-0.02
192602,48.56,3.74
192603,51.21,-1.79
192604,62.67,-0.79
192605,74.41,1.48
192606,81.77,0.46
192607,86.79,0.15
192608,85.08,-0.03
192609,76.24,-1.54
192610,67.06,0.28
192611,51.15,-1.54
192612,40.87,-1.89
192701,41.86,1.38
192702,48.27,3.45
192703,53.24,0.24
192704,63.52,0.06
192705,71.94,-0.99
192706,79.52,-1.79
192707,85.84,-0.80
192708,82.02,-3.09
192709,77.41,-0.37
192710,69.55,2.77
192711,54.90,2.21
192712,38.61,-4.15
192801,42.84,2.36
192802,45.30,0.48
192803,54.86,1.86
192804,60.49,-2.97
192805,75.04,2.11
192806,77.94,-3.37
192807,86.11,-0.53
192808,84.79,-0.32
192809,76.98,-0.80
192810,67.37,0.59
192811,51.78,-0.91
192812,43.36,0.60
192901,37.13,-3.35
192902,37.87,-6.95
192903,54.97,1.97
192904,63.05,-0.41
192905,71.62,-1.31
192906,80.71,-0.60
192907,86.88,0.24
192908,86.45,1.34
192909,75.81,-1.97
192910,66.43,-0.35
192911,49.26,-3.43
192912,44.69,1.93
193001,33.78,-6.70
193002,51.62,6.80
193003,52.18,-0.82
193004,67.73,4.27
193005,71.49,-1.44
193006,82.08,0.77
193007,89.10,2.46
193008,86.49,1.38
193009,78.91,1.13
193010,63.32,-3.46
193011,52.36,-0.33
193012,40.98,-1.78
193101,43.61,3.13
193102,48.49,3.67
193103,50.47,-2.53
193104,64.09,0.63
193105,72.86,-0.07
193106,84.20,2.89
193107,89.49,2.85
193108,85.15,0.04
193109,81.21,3.43
193110,69.28,2.50
193111,54.23,1.54
193112,44.26,1.50
193201,41.07,0.59
193202,47.59,2.77
193203,48.34,-4.66
193204,64.17,0.71
193205,73.36,0.43
193206,82.09,0.78
193207,87.37,0.73
193208,85.77,0.66
193209,78.39,0.61
193210,64.72,-2.06
193211,52.59,-0.10
193212,39.49,-3.27
193301,44.92,4.44
193302,41.40,-3.42
193303,53.26,0.26
193304,62.33,-1.13
193305,71.91,-1.02
193306,85.91,4.60
193307,88.72,2.08
193308,84.90,-0.21
193309,80.69,2.91
193310,68.56,1.78
193311,54.68,1.99
193312,47.37,4.61
193401,45.68,5.20
193402,46.18,1.36
193403,55.92,2.92
193404,67.14,3.68
193405,79.21,6.28
193406,84.33,3.02
193407,90.52,3.88
193408,86.97,1.86
193409,76.91,-0.87
193410,69.71,2.93
193411,55.89,3.20
193412,42.40,-0.36
193501,42.17,1.69
193502,47.01,2.19
193503,55.00,2.00
193504,61.02,-2.44
193505,68.88,-4.05
193506,80.42,-0.89
193507,88.30,1.66
193508,86.13,1.02
193509,78.22,0.44
193510,66.87,0.09
193511,49.68,-3.01
193512,40.23,-2.53
193601,37.56,-2.92
193602,36.25,-8.57
193603,55.49,2.49
193604,63.28,-0.18
193605,77.11,4.18
193606,84.58,3.27
193607,90.81,4.17
193608,88.29,3.18
193609,79.25,1.47
193610,66.11,-0.67
193611,51.93,-0.76
193612,44.33,1.57
193701,34.93,-5.55
193702,42.49,-2.33
193703,49.71,-3.29
193704,62.20,-1.26
193705,75.34,2.41
193706,81.39,0.08
193707,87.84,1.20
193708,88.21,3.10
193709,79.07,1.29
193710,66.27,-0.51
193711,51.62,-1.07
193712,41.95,-0.81
193801,42.13,1.65
193802,46.22,1.40
193803,56.17,3.17
193804,64.04,0.58
193805,72.05,-0.88
193806,81.52,0.21
193807,86.61,-0.03
193808,87.28,2.17
193809,79.97,2.19
193810,69.98,3.20
193811,51.87,-0.82
193812,44.56,1.80
193901,44.01,3.53
193902,41.56,-3.26
193903,54.77,1.77
193904,64.54,1.08
193905,76.44,3.51
193906,81.52,0.21
193907,88.56,1.92
193908,86.36,1.25
193909,81.19,3.41
193910,67.89,1.11
193911,54.93,2.24
193912,48.83,6.07
194001,33.57,-6.91
194002,43.43,-1.39
194003,52.90,-0.10
194004,62.17,-1.29
194005,74.53,1.60
194006,82.94,1.63
194007,87.55,0.91
194008,85.23,0.12
194009,78.12,0.34
194010,69.22,2.44
194011,49.28,-3.41
194012,45.64,2.88
194101,41.54,1.06
194102,43.61,-1.21
194103,50.31,-2.69
194104,63.59,0.13
194105,75.22,2.29
194106,79.79,-1.52
194107,86.88,0.24
194108,84.70,-0.41
194109,76.89,-0.89
194110,66.15,-0.63
194111,54.39,1.70
194112,45.66,2.90
194201,40.82,0.34
194202,41.00,-3.82
194203,52.92,-0.08
194204,65.82,2.36
194205,71.53,-1.40
194206,80.26,-1.05
194207,87.28,0.64
194208,84.52,-0.59
194209,76.78,-1.00
194210,67.42,0.64
194211,54.75,2.06
194212,42.82,0.06
194301,40.33,-0.15
194302,48.94,4.12
194303,50.68,-2.32
194304,65.98,2.52
194305,72.18,-0.75
194306,81.00,-0.31
194307,87.73,1.09
194308,86.95,1.84
194309,78.35,0.57
194310,66.92,0.14
194311,52.92,0.23
194312,42.93,0.17
194401,42.91,2.43
194402,45.09,0.27
194403,49.77,-3.23
194404,60.76,-2.70
194405,74.95,2.02
194406,80.91,-0.40
194407,86.54,-0.10
194408,85.55,0.44
194409,78.39,0.61
194410,69.31,2.53
194411,50.88,-1.81
194412,40.71,-2.05
194501,40.44,-0.04
194502,45.77,0.95
194503,57.49,4.49
194504,62.53,-0.93
194505,71.15,-1.78
194506,78.22,-3.09
194507,86.05,-0.59
194508,85.24,0.13
194509,77.92,0.14
194510,67.10,0.32
194511,53.28,0.59
194512,38.84,-3.92
194601,41.95,1.47
194602,47.25,2.43
194603,58.84,5.84
194604,68.02,4.56
194605,71.24,-1.69
194606,81.55,0.24
194607,87.13,0.49
194608,84.18,-0.93
194609,77.40,-0.38
194610,65.07,-1.71
194611,52.18,-0.51
194612,46.78,4.02
194701,42.31,1.83
194702,43.11,-1.71
194703,50.11,-2.89
194704,63.00,-0.46
194705,73.18,0.25
194706,78.82,-2.49
194707,86.49,-0.15
194708,87.22,2.11
194709,80.19,2.41
194710,71.40,4.62
194711,47.52,-5.17
194712,42.96,0.20
194801,38.98,-1.50
194802,42.48,-2.34
194803,50.00,-3.00
194804,66.02,2.56
194805,73.18,0.25
194806,81.50,0.19
194807,86.29,-0.35
194808,85.48,0.37
194809,80.01,2.23
194810,66.96,0.18
194811,52.16,-0.53
194812,42.73,-0.03
194901,35.73,-4.75
194902,42.93,-1.89
194903,51.71,-1.29
194904,65.08,1.62
194905,74.52,1.59
194906,81.93,0.62
194907,87.06,0.42
194908,85.62,0.51
194909,77.05,-0.73
194910,65.95,-0.83
194911,58.42,5.73
194912,44.10,1.34
195001,41.32,0.84
195002,47.10,2.28
195003,50.52,-2.48
195004,61.16,-2.30
195005,72.23,-0.70
195006,81.12,-0.19
195007,83.61,-3.03
195008,83.50,-1.61
195009,75.51,-2.27
195010,70.70,3.92
195011,52.63,-0.06
195012,43.75,0.99
195101,41.13,0.65
195102,46.08,1.26
195103,50.07,-2.93
195104,62.04,-1.42
195105,73.99,1.06
195106,79.29,-2.02
195107,86.86,0.22
195108,84.85,-0.26
195109,77.41,-0.37
195110,65.97,-0.81
195111,48.94,-3.75
195112,41.38,-1.38
195201,42.28,1.80
195202,46.20,1.38
195203,48.22,-4.78
195204,64.51,1.05
195205,73.69,0.76
195206,84.00,2.69
195207,87.82,1.18
195208,86.13,1.02
195209,80.40,2.62
195210,68.65,1.87
195211,51.46,-1.23
195212,42.75,-0.01
195301,46.83,6.35
195302,47.21,2.39
195303,55.33,2.33
195304,60.75,-2.71
195305,71.31,-1.62
195306,83.35,2.04
195307,87.42,0.78
195308,85.57,0.46
195309,81.36,3.58
195310,70.32,3.54
195311,55.56,2.87
195312,43.93,1.17
195401,41.72,1.24
195402,53.83,9.01
195403,50.72,-2.28
195404,67.19,3.73
195405,71.44,-1.49
195406,81.82,0.51
195407,89.26,2.62
195408,85.30,0.19
195409,80.10,2.32
195410,67.21,0.43
195411,56.05,3.36
195412,44.47,1.71
195501,39.27,-1.21
195502,42.37,-2.45
195503,52.32,-0.68
195504,65.57,2.11
195505,74.25,1.32
195506,79.39,-1.92
195507,87.21,0.57
195508,87.17,2.06
195509,79.52,1.74
195510,68.70,1.92
195511,49.69,-3.00
195512,41.88,-0.88
195601,41.14,0.66
195602,43.23,-1.59
195603,53.47,0.47
195604,62.11,-1.35
195605,74.64,1.71
195606,83.93,2.62
195607,86.16,-0.48
195608,85.26,0.15
195609,79.92,2.14
195610,69.40,2.62
195611,52.29,-0.40
195612,47.26,4.50
195701,37.17,-3.31
195702,48.52,3.70
195703,51.98,-1.02
195704,62.08,-1.38
195705,71.17,-1.76
195706,80.96,-0.35
195707,87.49,0.85
195708,84.78,-0.33
195709,77.34,-0.44
195710,62.22,-4.56
195711,49.86,-2.83
195712,47.75,4.99
195801,41.77,1.29
195802,42.10,-2.72
195803,46.76,-6.24
195804,62.02,-1.44
195805,76.01,3.08
195806,80.49,-0.82
195807,85.03,-1.61
195808,86.63,1.52
195809,77.94,0.16
195810,67.82,1.04
195811,54.59,1.90
195812,43.32,0.56
195901,40.46,-0.02
195902,43.23,-1.59
195903,53.76,0.76
195904,64.49,1.03
195905,73.11,0.18
195906,82.98,1.67
195907,87.04,0.40
195908,85.98,0.87
195909,77.04,-0.74
195910,64.83,-1.95
195911,50.74,-1.95
195912,45.91,3.15
196001,38.75,-1.73
196002,40.44,-4.38
196003,47.19,-5.81
196004,65.30,1.84
196005,72.37,-0.56
196006,82.36,1.05
196007,87.48,0.84
196008,85.26,0.15
196009,79.77,1.99
196010,67.24,0.46
196011,54.03,1.34
196012,40.69,-2.07
196101,41.23,0.75
196102,48.49,3.67
196103,54.39,1.39
196104,60.98,-2.48
196105,71.67,-1.26
196106,82.99,1.68
196107,86.27,-0.37
196108,85.50,0.39
196109,75.65,-2.13
196110,66.96,0.18
196111,50.79,-1.90
196112,40.68,-2.08
196201,37.83,-2.65
196202,45.66,0.84
196203,48.90,-4.10
196204,64.96,1.50
196205,74.89,1.96
196206,80.62,-0.69
196207,84.96,-1.68
196208,85.98,0.87
196209,77.02,-0.76
196210,68.43,1.65
196211,54.00,1.31
196212,44.10,1.34
196301,35.91,-4.57
196302,46.17,1.35
196303,56.08,3.08
196304,64.13,0.67
196305,73.94,1.01
196306,81.34,0.03
196307,86.81,0.17
196308,84.90,-0.21
196309,79.23,1.45
196310,73.45,6.67
196311,55.29,2.60
196312,38.32,-4.44
196401,42.89,2.41
196402,43.39,-1.43
196403,50.85,-2.15
196404,63.39,-0.07
196405,74.39,1.46
196406,80.65,-0.66
196407,87.87,1.23
196408,83.61,-1.50
196409,76.57,-1.21
196410,67.91,1.13
196411,53.51,0.82
196412,41.70,-1.06
196501,42.35,1.87
196502,44.22,-0.60
196503,46.60,-6.40
196504,63.52,0.06
196505,73.38,0.45
196506,79.03,-2.28
196507,85.41,-1.23
196508,83.75,-1.36
196509,73.27,-4.51
196510,68.74,1.96
196511,55.49,2.80
196512,45.72,2.96
196601,36.37,-4.11
196602,41.90,-2.92
196603,55.49,2.49
196604,62.37,-1.09
196605,73.80,0.87
196606,81.14,-0.17
196607,88.38,1.74
196608,83.55,-1.56
196609,77.09,-0.69
196610,66.31,-0.47
196611,54.48,1.79
196612,42.60,-0.16
196701,43.88,3.40
196702,44.98,0.16
196703,55.80,2.80
196704,62.80,-0.66
196705,70.47,-2.46
196706,79.48,-1.83
196707,85.24,-1.40
196708,84.61,-0.50
196709,77.00,-0.78
196710,67.06,0.28
196711,52.61,-0.08
196712,41.79,-0.97
196801,39.29,-1.19
196802,43.83,-0.99
196803,55.94,2.94
196804,63.18,-0.28
196805,70.61,-2.32
196806,81.30,-0.01
196807,85.75,-0.89
196808,82.71,-2.40
196809,77.13,-0.65
196810,67.46,0.68
196811,50.95,-1.74
196812,40.14,-2.62
196901,38.91,-1.57
196902,42.48,-2.34
196903,47.50,-5.50
196904,65.26,1.80
196905,74.70,1.77
196906,79.11,-2.20
196907,86.74,0.10
196908,86.85,1.74
196909,78.21,0.43
196910,62.08,-4.70
196911,53.19,0.50
196912,43.11,0.35
197001,37.24,-3.24
197002,47.37,2.55
197003,49.28,-3.72
197004,61.36,-2.10
197005,74.37,1.44
197006,81.52,0.21
197007,87.17,0.53
197008,86.83,1.72
197009,77.25,-0.53
197010,64.04,-2.74
197011,51.80,-0.89
197012,44.10,1.34
197101,39.97,-0.51
197102,44.58,-0.24
197103,51.57,-1.43
197104,63.46,0.00
197105,71.17,-1.76
197106,82.33,1.02
197107,85.48,-1.16
197108,85.01,-0.10
197109,76.62,-1.16
197110,66.61,-0.17
197111,52.14,-0.55
197112,43.23,0.47
197201,40.95,0.47
197202,45.25,0.43
197203,56.66,3.66
197204,63.45,-0.01
197205,73.42,0.49
197206,81.05,-0.26
197207,84.92,-1.72
197208,84.36,-0.75
197209,76.60,-1.18
197210,63.39,-3.39
197211,47.41,-5.28
197212,39.40,-3.36
197301,39.34,-1.14
197302,44.02,-0.80
197303,54.27,1.27
197304,60.22,-3.24
197305,72.19,-0.74
197306,81.79,0.48
197307,86.14,-0.50
197308,85.69,0.58
197309,76.33,-1.45
197310,68.81,2.03
197311,53.01,0.32
197312,43.77,1.01
197401,40.69,0.21
197402,46.76,1.94
197403,55.90,2.90
197404,64.27,0.81
197405,72.86,-0.07
197406,82.13,0.82
197407,87.46,0.82
197408,82.99,-2.12
197409,75.34,-2.44
197410,66.94,0.16
197411,52.93,0.24
197412,43.30,0.54
197501,42.87,2.39
197502,43.07,-1.75
197503,49.50,-3.50
197504,58.06,-5.40
197505,72.90,-0.03
197506,79.86,-1.45
197507,86.09,-0.55
197508,84.24,-0.87
197509,75.74,-2.04
197510,67.55,0.77
197511,54.18,1.49
197512,44.55,1.79
197601,41.45,0.97
197602,51.60,6.78
197603,54.39,1.39
197604,64.56,1.10
197605,72.23,-0.70
197606,80.92,-0.39
197607,85.82,-0.82
197608,83.93,-1.18
197609,77.16,-0.62
197610,62.74,-4.04
197611,50.58,-2.11
197612,43.16,0.40
197701,33.66,-6.82
197702,48.51,3.69
197703,54.97,1.97
197704,67.57,4.11
197705,74.08,1.15
197706,83.52,2.21
197707,87.46,0.82
197708,84.00,-1.11
197709,77.76,-0.02
197710,66.67,-0.11
197711,53.37,0.68
197712,43.23,0.47
197801,34.84,-5.64
197802,37.83,-6.99
197803,52.70,-0.30
197804,63.39,-0.07
197805,71.83,-1.10
197806,82.06,0.75
197807,86.88,0.24
197808,84.79,-0.32
197809,78.24,0.46
197810,68.34,1.56
197811,51.82,-0.87
197812,40.24,-2.52
197901,31.26,-9.22
197902,38.68,-6.14
197903,53.06,0.06
197904,61.75,-1.71
197905,71.44,-1.49
197906,81.03,-0.28
197907,85.73,-0.91
197908,83.23,-1.88
197909,79.79,2.01
197910,68.38,1.60
197911,50.81,-1.88
197912,47.12,4.36
198001,40.37,-0.11
198002,43.29,-1.53
198003,50.40,-2.60
198004,64.42,0.96
198005,72.72,-0.21
198006,82.02,0.71
198007,89.49,2.85
198008,85.77,0.66
198009,79.09,1.31
198010,65.66,-1.12
198011,53.62,0.93
198012,46.15,3.39
198101,43.54,3.06
198102,48.45,3.63
198103,54.64,1.64
198104,67.86,4.40
198105,71.06,-1.87
198106,82.22,0.91
198107,86.50,-0.14
198108,84.92,-0.19
198109,78.04,0.26
198110,63.66,-3.12
198111,56.23,3.54
198112,43.45,0.69
198201,37.33,-3.15
198202,43.38,-1.44
198203,52.81,-0.19
198204,60.94,-2.52
198205,73.13,0.20
198206,78.57,-2.74
198207,85.59,-1.05
198208,84.52,-0.59
198209,76.01,-1.77
198210,65.34,-1.44
198211,51.17,-1.52
198212,45.03,2.27
198301,42.35,1.87
198302,46.53,1.71
198303,52.03,-0.97
198304,58.19,-5.27
198305,70.50,-2.43
198306,79.61,-1.70
198307,86.94,0.30
198308,87.93,2.82
198309,78.69,0.91
198310,66.67,-0.11
198311,52.75,0.06
198312,34.43,-8.33
198401,38.97,-1.51
198402,48.83,4.01
198403,50.99,-2.01
198404,61.21,-2.25
198405,72.95,0.02
198406,81.10,-0.21
198407,86.05,-0.59
198408,85.82,0.71
198409,75.99,-1.79
198410,64.20,-2.58
198411,52.25,-0.44
198412,44.46,1.70
198501,36.43,-4.05
198502,41.68,-3.14
198503,54.91,1.91
198504,67.41,3.95
198505,75.15,2.22
198506,81.27,-0.04
198507,87.31,0.67
198508,83.80,-1.31
198509,74.48,-3.30
198510,65.73,-1.05
198511,48.79,-3.90
198512,39.47,-3.29
198601,46.04,5.56
198602,45.93,1.11
198603,58.57,5.57
198604,65.43,1.97
198605,73.69,0.76
198606,83.14,1.83
198607,86.05,-0.59
198608,84.54,-0.57
198609,74.57,-3.21
198610,65.57,-1.21
198611,51.33,-1.36
198612,43.70,0.94
198701,41.52,1.04
198702,47.61,2.79
198703,53.87,0.87
198704,67.64,4.18
198705,75.34,2.41
198706,83.25,1.94
198707,85.80,-0.84
198708,84.56,-0.55
198709,78.67,0.89
198710,66.88,0.10
198711,54.79,2.10
198712,43.90,1.14
198801,38.14,-2.34
198802,45.64,0.82
198803,54.91,1.91
198804,65.26,1.80
198805,74.93,2.00
198806,85.01,3.70
198807,88.16,1.52
198808,86.83,1.72
198809,77.58,-0.20
198810,66.99,0.21
198811,54.05,1.36
198812,44.51,1.75
198901,45.14,4.66
198902,39.54,-5.28
198903,54.45,1.45
198904,65.91,2.45
198905,73.15,0.22
198906,80.56,-0.75
198907,86.99,0.35
198908,83.59,-1.52
198909,76.91,-0.87
198910,67.50,0.72
198911,54.81,2.12
198912,38.89,-3.87
199001,47.16,6.68
199002,48.15,3.33
199003,56.10,3.10
199004,64.98,1.52
199005,70.88,-2.05
199006,83.21,1.90
199007,85.71,-0.93
199008,84.88,-0.23
199009,80.33,2.55
199010,67.21,0.43
199011,56.88,4.19
199012,41.85,-0.91
199101,39.24,-1.24
199102,51.60,6.78
199103,54.72,1.72
199104,64.38,0.92
199105,73.53,0.60
199106,81.27,-0.04
199107,86.59,-0.05
199108,85.68,0.57
199109,77.54,-0.24
199110,68.07,1.29
199111,49.46,-3.23
199112,45.36,2.60
199201,43.52,3.04
199202,50.05,5.23
199203,56.34,3.34
199204,64.94,1.48
199205,74.26,1.33
199206,79.75,-1.56
199207,82.99,-3.65
199208,82.31,-2.80
199209,77.50,-0.28
199210,67.59,0.81
199211,49.19,-3.50
199212,40.87,-1.89
199301,39.61,-0.87
199302,41.31,-3.51
199303,52.56,-0.44
199304,61.83,-1.63
199305,73.36,0.43
199306,79.23,-2.08
199307,83.98,-2.66
199308,84.20,-0.91
199309,76.30,-1.48
199310,65.32,-1.46
199311,50.29,-2.40
199312,44.01,1.25
199401,39.78,-0.70
199402,43.05,-1.77
199403,56.80,3.80
199404,65.59,2.13
199405,73.47,0.54
199406,83.89,2.58
199407,86.43,-0.21
199408,85.19,0.08
199409,78.66,0.88
199410,65.88,-0.90
199411,52.84,0.15
199412,45.70,2.94
199501,42.15,1.67
199502,48.78,3.96
199503,54.41,1.41
199504,61.48,-1.98
199505,70.05,-2.88
199506,79.83,-1.48
199507,86.41,-0.23
199508,87.10,1.99
199509,77.52,-0.26
199510,67.46,0.68
199511,53.44,0.75
199512,43.27,0.51
199601,40.78,0.30
199602,47.16,2.34
199603,51.10,-1.90
199604,63.70,0.24
199605,72.93,0.00
199606,82.62,1.31
199607,86.25,-0.39
199608,85.19,0.08
199609,75.40,-2.38
199610,66.06,-0.72
199611,49.51,-3.18
199612,43.68,0.92
199701,39.81,-0.67
199702,46.06,1.24
199703,57.07,4.07
199704,59.85,-3.61
199705,72.27,-0.66
199706,80.40,-0.91
199707,85.80,-0.84
199708,84.11,-1.00
199709,78.91,1.13
199710,66.22,-0.56
199711,50.83,-1.86
199712,43.03,0.27
199801,44.31,3.83
199802,47.82,3.00
199803,51.82,-1.18
199804,63.45,-0.01
199805,75.11,2.18
199806,80.31,-1.00
199807,88.03,1.39
199808,86.94,1.83
199809,81.91,4.13
199810,66.90,0.12
199811,54.73,2.04
199812,45.99,3.23
199901,44.44,3.96
199902,50.76,5.94
199903,54.73,1.73
199904,63.41,-0.05
199905,72.70,-0.23
199906,80.35,-0.96
199907,86.83,0.19
199908,85.89,0.78
199909,77.92,0.14
199910,68.86,2.08
199911,61.16,8.47
199912,47.10,4.34
200001,44.20,3.72
200002,51.19,6.37
200003,58.08,5.08
200004,65.75,2.29
200005,75.97,3.04
200006,81.55,0.24
200007,86.88,0.24
200008,87.30,2.19
200009,79.05,1.27
200010,67.14,0.36
200011,47.88,-4.81
200012,38.52,-4.24
200101,41.41,0.93
200102,44.46,-0.36
200103,52.23,-0.77
