year,month,fahrenheit
1925,10,59.54
1925,11,51.44
1925,12,42.26
1926,1,40.46
1926,2,48.56
1926,3,51.21
1926,4,62.67
1926,5,74.41
1926,6,81.77
1926,7,86.79
1926,8,85.08
1926,9,76.24
1926,10,67.06
1926,11,51.15
1926,12,40.87
1927,1,41.86
1927,2,48.27
1927,3,53.24
1927,4,63.52
1927,5,71.94
1927,6,79.52
1927,7,85.84
1927,8,82.02
1927,9,77.41
1927,10,69.55
1927,11,54.9
1927,12,38.61
1928,1,42.84
1928,2,45.3
1928,3,54.86
1928,4,60.49
1928,5,75.04
1928,6,77.94
1928,7,86.11
1928,8,84.79
1928,9,76.98
1928,10,67.37
1928,11,51.78
1928,12,43.36
1929,1,37.13
1929,2,37.87
1929,3,54.97
1929,4,63.05
1929,5,71.62
1929,6,80.71
1929,7,86.88
1929,8,86.45
1929,9,75.81
1929,10,66.43
1929,11,49.26
1929,12,44.69
1930,1,33.78
1930,2,51.62
1930,3,52.18
1930,4,67.73
1930,5,71.49
1930,6,82.08
1930,7,89.1
1930,8,86.49
1930,9,78.91
1930,10,63.32
1930,11,52.36
1930,12,40.98
1931,1,43.61
1931,2,48.49
1931,3,50.47
1931,4,64.09
1931,5,72.86
1931,6,84.2
1931,7,89.49
1931,8,85.15
1931,9,81.21
1931,10,69.28
1931,11,54.23
1931,12,44.26
1932,1,41.07
1932,2,47.59
1932,3,48.34
1932,4,64.17
1932,5,73.36
1932,6,82.09
1932,7,87.37
1932,8,85.77
1932,9,78.39
1932,10,64.72
1932,11,52.59
1932,12,39.49
1933,1,44.92
1933,2,41.4
1933,3,53.26
1933,4,62.33
1933,5,71.91
1933,6,85.91
1933,7,88.72
1933,8,84.9
1933,9,80.69
1933,10,68.56
1933,11,54.68
1933,12,47.37
1934,1,45.68
1934,2,46.18
1934,3,55.92
1934,4,67.14
1934,5,79.21
1934,6,84.33
1934,7,90.52
1934,8,86.97
1934,9,76.91
1934,10,69.71
1934,11,55.89
1934,12,42.4
1935,1,42.17
1935,2,47.01
1935,3,55.0
1935,4,61.02
1935,5,68.88
1935,6,80.42
1935,7,88.3
1935,8,86.13
1935,9,78.22
1935,10,66.87
1935,11,49.68
1935,12,40.23
1936,1,37.56
1936,2,36.25
1936,3,55.49
1936,4,63.28
1936,5,77.11
1936,6,84.58
1936,7,90.81
1936,8,88.29
1936,9,79.25
1936,10,66.11
1936,11,51.93
1936,12,44.33
1937,1,34.93
1937,2,42.49
1937,3,49.71
1937,4,62.2
1937,5,75.34
1937,6,81.39
1937,7,87.84
1937,8,88.21
1937,9,79.07
1937,10,66.27
1937,11,51.62
1937,12,41.95
1938,1,42.13
1938,2,46.22
1938,3,56.17
1938,4,64.04
1938,5,72.05
1938,6,81.52
1938,7,86.61
1938,8,87.28
1938,9,79.97
1938,10,69.98
1938,11,51.87
1938,12,44.56
1939,1,44.01
1939,2,41.56
1939,3,54.77
1939,4,64.54
1939,5,76.44
1939,6,81.52
1939,7,88.56
1939,8,86.36
1939,9,81.19
1939,10,67.89
1939,11,54.93
1939,12,48.83
1940,1,33.57
1940,2,43.43
1940,3,52.9
1940,4,62.17
1940,5,74.53
1940,6,82.94
1940,7,87.55
1940,8,85.23
1940,9,78.12
1940,10,69.22
1940,11,49.28
1940,12,45.64
1941,1,41.54
1941,2,43.61
1941,3,50.31
1941,4,63.59
1941,5,75.22
1941,6,79.79
1941,7,86.88
1941,8,84.7
1941,9,76.89
1941,10,66.15
1941,11,54.39
1941,12,45.66
1942,1,40.82
1942,2,41.0
1942,3,52.92
1942,4,65.82
1942,5,71.53
1942,6,80.26
1942,7,87.28
1942,8,84.52
1942,9,76.78
1942,10,67.42
1942,11,54.75
1942,12,42.82
1943,1,40.33
1943,2,48.94
1943,3,50.68
1943,4,65.98
1943,5,72.18
1943,6,81.0
1943,7,87.73
1943,8,86.95
1943,9,78.35
1943,10,66.92
1943,11,52.92
1943,12,42.93
1944,1,42.91
1944,2,45.09
1944,3,49.77
1944,4,60.76
1944,5,74.95
1944,6,80.91
1944,7,86.54
1944,8,85.55
1944,9,78.39
1944,10,69.31
1944,11,50.88
1944,12,40.71
1945,1,40.44
1945,2,45.77
1945,3,57.49
1945,4,62.53
1945,5,71.15
1945,6,78.22
1945,7,86.05
1945,8,85.24
1945,9,77.92
1945,10,67.1
1945,11,53.28
1945,12,38.84
1946,1,41.95
1946,2,47.25
1946,3,58.84
1946,4,68.02
1946,5,71.24
1946,6,81.55
